"Timestamp","Age:","Gender: ","How often do you use the Internet?","On average, how many hours do you spend on the Internet daily?","What do you like doing most online?","Where do you use the Internet?","Which device do you access Internet from?","What is the main way of communication with your Offline friends?","How many of your virtual contacts have you not met in real life?","Have you ever met any virtual friends in real life?","Did you take any lessons on how to use the Internet?","Have you received lessons on how to stay safe on the Internet?","How often do you check your Email?","How ofte n do you check social media sites(Facebook, Instagram, Snapchat, Twitter etc.)","Do you use the Internet to pursue subculture interests (e.g. looking for alternative music bands or tv-soaps on WWW)?","Do you use the Internet to prepare your holidays(Airbnb, BookMyTrip, Hotels.com)?","Do you use the Internet to look for company or product information?","Do you participate in self-help groups in the Internet?","Do you ask on the Internet for psychological, medical or religious advice?","Do you search a topic on the Internet which you are interested in?","If you search a topic on the Internet and cannot find it, will you search it afterwards with conventional methods?","Do you feel a strong necessity to go onto the Internet when you are not online?","Do you feel an anticipation before you are using the Internet?","Do you ever feel guilty or depressed after using the Internet for a long time?","Does the Internet play any role in your dreams?","Are you thinking about what is happening on the Internet itself when you are not using it?","Do you spend more time on the Internet than you originally planned?","Have you ever lost track of time when you are using the Internet ?","Has the internet influenced your life in a positive way?","Please state 3 best things on the internet(include web address if wanted).","Please state 3 worst things on the internet(include web address if wanted)."
"2017/12/25 2:48:18 PM GMT+6","24","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);File Sharing;Internet tv","Home","Desktop;Smartphone","Voice call( phone);Sms","More than 5","Yes","Yes","Yes","Less than once each hour","2-5 times an hour","Yes","No","Yes","Yes","No","Yes","Yes","Maybe","No","Yes","Maybe","Sometimes","Yes","Yes","No","1. social media
2. tech info
3. entertainment media","1. people showing positives only
2. game like blue whale"
"2017/12/25 2:51:17 PM GMT+6","22","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);Music;Movies;Gaming;Internet tv","Home","Desktop;Smartphone","Voice call( phone);Sms","More than 5","Yes","Yes","Yes","Once a day","2-5 times an hour","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Sometimes","Yes","Yes","Yes","Google,YouTube,Facebook","porn,online harassment,dark web"
"2017/12/25 2:58:38 PM GMT+6","23","Female","Everyday","2-3 hours","Internet tv","Home","Smartphone","Voice call( phone)","More than 5","Yes","No","No","Once a day","2-5 times an hour","No","No","Yes","Yes","Yes","Yes","Yes","Maybe","No","Yes","No","No","Maybe","No","Yes","",""
"2017/12/25 3:28:09 PM GMT+6","150","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);News;Music;Web Browsing","Home","Smartphone","","None","No","No","No","Once a day","2-5 times an hour","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","Maybe","No","Yes","Porn, porn, porn","Porn, porn, porn"
"2017/12/25 3:32:09 PM GMT+6","24","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Chatting(Messenger, Viber, Whatsapp);News;Music;Movies;Gaming;File Sharing;Web Browsing","Home;School;Cafe;Library;Friend's or family's house","Desktop;Smartphone","Voice call( phone);Video call;Instant Messaging;Sms;Email","None","No","No","No","Less than once each hour","More than 5 times an hour","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Maybe","Yes","Yes","Yes","Yes","",""
"2017/12/25 3:49:20 PM GMT+6","25","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Blogs;Music;Gaming;File Sharing;Web Browsing","Home","Desktop;Smartphone","Instant Messaging;Sms","More than 5","Yes","Yes","Yes","Less than once each hour","More than 5 times an hour","Yes","Yes","Yes","Yes","Yes","Yes","No","Always","No","No","Maybe","Sometimes","No","Sometimes","Yes","",""
"2017/12/25 3:51:52 PM GMT+6","24","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);Music;Movies;Web Browsing","Home","Desktop","Voice call( phone);Email","","Yes","Yes","No","Less than once each hour","2-5 times an hour","","Yes","Yes","Yes","Yes","Yes","No","Maybe","Yes","No","Yes","Yes","Yes","Yes","Yes","helpful,entertaining,positive","time kill,health issue,negetive"
"2017/12/25 3:52:56 PM GMT+6","24","Male","Everyday","3-4 hours","Music","Home","Desktop","Sms","More than 5","Yes","No","Yes","Once a day","Once a day","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Maybe","No","Yes","",""
"2017/12/25 4:03:42 PM GMT+6","25","Male","Everyday","More than 4 hours","News;Blogs;Music;Web Browsing","Home","Desktop;Smartphone","Voice call( phone)","None","Yes","No","Yes","More than 5 times an hour","Once a day","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","Sometimes","Yes","","pornography, betting, piracy"
"2017/12/25 4:13:11 PM GMT+6","25","Male","Everyday","More than 4 hours","Social media(Facebook, Twitter, Instagram, Snapchat etc.);News;Music;Web Browsing","Home","Desktop;Smartphone","Voice call( phone)","More than 5","Yes","Yes","Yes","Once a day","Less than once each hour","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Sometimes","Maybe","Yes","Yes","www.gmail.com
www.facebook.com
www.youtube.com","www.facebook.com"
